day,ym,RM_monthly,rf_monthly,RM_RF_monthly,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
01may2000,2000m5,-.027767355,.0034100001,-.031177355,-.072592482,.038273305,-.030353833,.075202271,.050970376,-.12014773
01jun2000,2000m6,-.047063187,.0031666667,-.050229855,-.05249875,.13027966,-.051949549,-.063756958,.10912885,-.012848002
03jul2000,2000m7,.0086187581,.0033583334,.0052604247,-.016859975,-.0048845755,-.0085626524,-.0294393,-.0024713683,.016323617
01aug2000,2000m8,.018490879,.0034013889,.01508949,.013335302,-.054739274,.054777201,.0044793799,-.0042571425,.056808792
01sep2000,2000m9,-.082443327,.0031833332,-.085626662,.0067679998,.082988933,-.11463221,.084050663,.078433447,-.13056034
02oct2000,2000m10,-.031953584,.0034186111,-.035372194,-.071809992,.130555,-.059590161,-.032391071,.098510452,-.073418193
01nov2000,2000m11,-.069251232,.0031583332,-.072409563,-.029091302,.13940449,-.1080043,-.063573644,.24188475,-.078854866
01dec2000,2000m12,-.022693016,.0034788889,-.026171904,-.059309188,.04577709,.0007940121,.00807718,-.030826237,-.035323035
01jan2001,2001m1,.054756407,.0035391669,.051217239,.19797733,-.01103886,-.31613204,.053308487,-.036435492,-.26836887
01feb2001,2001m2,-.10788371,.0030255558,-.11090926,-.051974598,.11805904,.18940391,-.055732992,.15006687,.11588691
01mar2001,2001m3,-.12953338,.0035477777,-.13308115,-.01744899,.051344406,.13437842,.056890219,.10670711,.094919011
02apr2001,2001m4,.122261,.0033249999,.118936,-.050468996,-.020361381,.08573775,-.092885047,-.064899497,.010355262
01may2001,2001m5,.0078694234,.0034788889,.0043905345,-.026935222,.05063333,.040574756,-.0098279873,.051611573,.034958065
01jun2001,2001m6,-.053786207,.0033416669,-.057127874,-.01562075,.074229799,.12286039,-.032867648,.049199708,.040347606
02jul2001,2001m7,-.019918658,.0036597222,-.023578379,-.026955757,.02927395,.060065348,-.046488274,.033754904,.01565587
