day,RM_daily,rf_daily,RM_RF_daily,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
11mar1983,-.0093673905,.00029166666,-.0096590575,.004843167,.00033659255,.0062194588,.0046006548,.0019076748,.0057995329
14mar1983,.016278312,.00029444444,.015983867,.0025721656,.0071500125,.0017199195,.0014832312,.0049584336,.0023500626
15mar1983,.010415124,.00029444444,.01012068,-.0051846839,.0027482882,.012615317,-.0022026086,.0086892797,.016567588
16mar1983,.0030288226,.00029583334,.0027329894,.0061270637,.0056130672,.0083883507,.0070482953,-.00044466328,.009421098
17mar1983,-.0060150009,.00029722223,-.0063122232,.0014974955,-.011286643,-.00030005933,.00045644128,-.007910246,.00072640856
18mar1983,.01700272,.00029722223,.016705498,-.0016878581,.0047071115,.0046244739,-.0066102957,-.0015853047,.01256775
21mar1983,-.0059020501,.00030000001,-.00620205,.002646127,.0076332921,-.0078780986,-.0014883437,.00089344033,-.0028536392
22mar1983,-.0071002762,.00030000001,-.0074002761,.0063769268,-.00086476374,-.010228327,.0011635838,-.0026172753,-.0034548519
23mar1983,-.029189954,.00030000001,-.029489953,.0077409106,-.016217805,.0086352602,.0044985325,-.013764245,.0020860266
24mar1983,-.014807552,.00030277777,-.01511033,-.00019724481,.010132658,.0025930463,-.0020783073,.0091674142,.0058454815
25mar1983,-.0029345718,.00030277777,-.0032373497,-.001872642,.010407656,-.0053647202,.0023404213,.0061899046,-.0069297766
28mar1983,-.0081130192,.00030277777,-.0084157968,.0011267547,-.0019877779,.00076277013,.0034296459,-.0017150526,.0087472722
29mar1983,.014552586,.00030416666,.01424842,.001763511,.0098779211,-.006551451,-.00050006696,.0089155994,-.0037856908
30mar1983,.0084944051,.00030416666,.0081902388,.0040177647,.0023525194,.0038501872,.0078825857,.0040148022,.0034539134
06apr1983,-.0019825834,.00030138888,-.0022839722,.0032275515,-.0019319019,.0097619891,-.0018827464,-.0068250489,.012914115
07apr1983,-.022782136,.00030277777,-.023084914,.011501892,-.0018369909,-.0020062434,.0098662358,-.0053116819,-.001033118
08apr1983,.011991148,.00030277777,.01168837,-.0065457635,.0017954552,.0084853256,-.0086484561,.0015077667,.011840556
11apr1983,.013400122,.00030138888,.013098733,-.004780544,.0081057353,.00021085958,-.0054278327,.0096045388,.0023423675
12apr1983,.0051436457,.00030138888,.0048422567,-.0022409202,.016222062,-.0057011116,-.0058936393,.012964695,-.0058106063
13apr1983,-.013429855,.00030138888,-.013731244,.0092988294,.0054662926,.0074836593,.004608016,.0070702154,.0067674033
14apr1983,.0084003843,.00030277777,.0080976067,-.0084282132,.011617,.0032229575,-.013080276,.003388471,.0032759239
15apr1983,.012269785,.00030277777,.011967007,-.0082841441,.0059801037,.000018925348,-.01276294,.0022096462,.00040919415
18apr1983,.0032967306,.00030277777,.0029939527,-.0034693859,.0049572242,.015248772,-.0085806623,.00029763673,.016977571
19apr1983,.0076094475,.00030277777,.0073066698,-.0040957602,-.0084476089,.0089228507,-.0091412226,-.008426439,.014533995
20apr1983,.019885249,.00030277777,.019582471,-.011532599,.0063519105,.0051733637,-.016934095,.0027160975,.011786732
21apr1983,.022935448,.00030000001,.022635449,-.001915738,.010222246,-.000064494088,-.0073217819,.014282435,.0014049122
22apr1983,-.0010105995,.00030000001,-.0013105995,-.0030499864,-.011778678,.00072330772,-.00077280466,-.0050079273,-.00070163666
25apr1983,-.0070107752,.00030000001,-.0073107751,-.017463649,.013679632,.015689677,-.012298207,.014416303,.018926905
26apr1983,.0035538287,.00030000001,.0032538287,-.0021646875,.0089171529,.0039597559,.0016184247,.011198462,.0031710854
27apr1983,.019996222,.00030000001,.019696223,-.01058632,.010748303,-.00021312246,-.0099788848,.010119755,.00021115271
28apr1983,-.0028700382,.00030000001,-.0031700381,.011963646,-.010975597,.0078277951,.0091279298,-.0047778785,.0040970454
10may1983,.013631346,.00030972224,.013321623,-.0011435831,.0032478077,.012072305,-.0061836173,.0030234349,.01258608
11may1983,-.00071130082,.00030972224,-.001021023,.0021296209,.007753267,.00055642676,.0018647703,.0096805776,-.00038272302
16may1983,.0090755401,.0003111111,.008764429,-.0024265307,.0072535677,-.00093065458,-.0013569741,.0041336343,-.0032456729
17may1983,-.010801516,.00030972224,-.011111239,-.0020239272,-.0079094032,.0096070571,-.002408653,-.0093457233,.0039942241
19may1983,.0022284619,.00028194443,.0019465175,.011591105,.021612167,-.0012110651,.0062826555,.014728492,-.0056984192
20may1983,-.021857074,.00028194443,-.022139018,.003124078,-.02622555,-.0098645724,.012136492,-.018367251,-.0022208139
24may1983,-.0088654496,.00028472222,-.0091501717,.021188576,.0065006167,.011884069,.014194727,-.00044994731,.0066973269
26may1983,-.012912548,.00031388889,-.013226437,.0085993279,-.013090928,.0028032395,.0007287538,-.019131137,.0052431989
27may1983,.014336168,.00031388889,.014022279,.019484315,-.0036321087,.041405994,.0037167312,-.022969067,.023426218
30may1983,-.003550567,.00031527778,-.0038658448,.012870774,.0020524252,-.0099728601,.020059962,.012560423,-.010845866
31may1983,-.019425288,.00030694445,-.019732233,.011824763,-.00030291069,.00040725892,.012219422,-.0018682999,.00062973332
01jun1983,-.019435002,.00030694445,-.019741947,.0073274928,-.0093852999,-.0041014515,.0046407981,-.0094579598,-.011792955
02jun1983,.0054033375,.00030694445,.0050963932,-.014256604,.013015188,.0017116069,-.005649684,.01407473,.0088504581
03jun1983,.0027822696,.00030694445,.0024753253,.005569254,-.0019279647,-.001095532,.0079450496,-.0013031096,.0020157702
06jun1983,-.026227798,.00030694445,-.026534744,.0084143123,-.0071657649,-.00011656061,.0048161894,-.013647407,-.0065861726
07jun1983,-.013053114,.00030833334,-.013361447,.0013844814,-.0063446583,.0046377131,-.0043950304,-.0079628406,.0083092907
08jun1983,.0047129076,.00030833334,.0044045742,-.0065919496,-.0027533302,.00051286508,-.004308043,-.0025590255,-.00096699322
09jun1983,-.027850091,.00030833334,-.028158424,.003706757,-.0094847912,.0050041345,.011729478,-.01792,.0035928413
10jun1983,.0091956342,.00030833334,.0088873012,.010476661,.005594824,-.0037896573,.0027259933,.0059345001,.0067997072
13jun1983,.018624211,.00030833334,.018315878,-.015302209,.017849112,-.0086541157,-.017270839,.01702638,-.0072203754
14jun1983,.010567187,.00030833334,.010258854,.019669468,.002074654,.043565698,.00013153472,.004971867,.018759709
15jun1983,.012402121,.00030833334,.012093788,-.0043989397,.0081761405,.0037024352,-.0067443759,.0068272213,.0052882605
16jun1983,-.011145273,.00030833334,-.011453606,.0098196454,-.015303844,.0033376976,.011933783,-.0074169524,-.0056915209
17jun1983,.0096191214,.00030833334,.0093107885,.021388527,-.021956226,.011542245,.0075210663,-.011675347,.01412406
20jun1983,-.00064960064,.00030833334,-.00095793395,-.0099859992,.0032369797,-.01767306,-.0061700251,.0033136222,-.018203761
21jun1983,-.0075595253,.00030833334,-.0078678587,.010787477,-.005137892,.0024436153,.008912785,-.0061644875,-.0021659783
22jun1983,-.00043664945,.00030833334,-.0007449828,.0001301559,.0037091319,-.0072263051,.0029984319,.0063383635,-.0059183333
23jun1983,.002184201,.00032222221,.0018619788,.0024816114,-.0019788167,.009607573,.0015801784,-.00073685654,.0050471537
27jun1983,-.0036808329,.00032222221,-.0040030549,-.0032573538,-.0061372272,.0027756046,-.00017875984,-.0064748949,.0021201121
28jun1983,-.0019687433,.00032222221,-.0022909655,.00061391998,-.00095429469,-.0032876856,.0023168654,-.0015616862,-.0031204592
29jun1983,-.0043592616,.00032222221,-.0046814838,-.00075043732,.0037907595,-.0064085624,.0017557747,.0025612074,-.0046523102
30jun1983,.0089768367,.00031944446,.0086573921,.010328506,-.083395183,.061012108,-.0069880281,-.067804217,.077491432
01jul1983,.012169697,.00031805557,.011851641,-.0096009849,.019725405,.00009387196,-.0064868871,.010508326,-.0029321229
04jul1983,.024645526,.00031805557,.02432747,-.017474821,.012567516,.0083919736,-.01881771,.014934443,.0045164404
05jul1983,-.00021037376,.00031805557,-.00052842934,.001892273,-.0089348741,.014264397,.0020641675,-.013458082,.025201751
06jul1983,-.0077387076,.00031805557,-.0080567636,.0020365478,-.00482244,-.0087244082,.00099790737,-.00033093081,-.017814463
07jul1983,.0018849698,.00031805557,.0015669141,.0018815281,.0070453919,.0065200357,-.00036082932,.0042979587,.0064827055
08jul1983,-.0014581031,.00031805557,-.0017761586,.0086568119,-.0089857131,.0069488357,.007433427,-.0094643496,.0054083201
11jul1983,.0094915098,.00031666667,.0091748433,-.011468681,.0053665312,.00596555,-.0090205129,.0055743465,.0046273544
12jul1983,.018361252,.00031666667,.018044585,-.0081558954,-.0021899689,.0042517637,-.012451813,-.0077087539,.0063162954
13jul1983,-.0030470344,.00031666667,-.003363701,.0070768651,.0036951411,-.00016320671,.0095541757,.0026684371,-.0007127811
14jul1983,.00080430188,.00031666667,.0004876352,.000068183814,.00011827267,-.0044168327,.0021626514,.00034545429,-.0029383993
15jul1983,.006360359,.00031527778,.0060450812,.0013911828,.0019585893,.00059634342,.0019594645,.0070155677,-.0016286336
18jul1983,-.0061148126,.00031527778,-.0064300904,.0035652493,.0021103716,.0061892727,.010427631,.0064450447,.0052743042
19jul1983,.0067722681,.00031388889,.0064583793,-.0024242189,.0055717081,.0012627807,-.00042926671,.0050134407,-.0050078174
20jul1983,.0091893738,.00031388889,.0088754846,-.0029394196,.002783481,-.0022123118,-.00093899854,.0019153465,-.00018391944
21jul1983,-.0036377604,.00031527778,-.0039530382,.0070918486,-.0022615392,-.0056787697,.0093705785,.0045502586,-.010978234
22jul1983,-.00020409552,.00031666667,-.00052076217,.0023439692,.00045744609,-.0030362108,.0053021242,.00051342254,-.0048655928
25jul1983,.0060787518,.00031666667,.0057620853,-.0071344743,.00043029158,.0059679747,-.0038582413,.0026470968,.002094801
26jul1983,.0078907022,.00031666667,.0075740358,-.00096106558,.0013062458,-.00086500868,.0017321105,.0021257221,-.00092489365
27jul1983,.010602604,.00031666667,.010285937,-.0024413143,-.00055827177,.002658292,-.0050393599,-.0031602592,.0015446243
28jul1983,-.0037627269,.00031666667,-.0040793936,-.0039589261,-.01114364,.0012736066,.0023181308,-.0070015024,.00065695163
29jul1983,.0019995556,.00031666667,.0016828889,.001491711,.0076363874,-.0052929055,.0058308449,.011734526,-.0050335159
01aug1983,.015476719,.00031527778,.015161441,-.03339719,-.01917061,.02220485,-.038193189,-.035923496,.022371322
02aug1983,.014869645,.00031527778,.014554367,.00090352102,.00064635184,-.0054379934,-.0047150482,.0055589094,-.009307798
03aug1983,.011553605,.00031527778,.011238327,-.0040506651,.0077112559,.00094138063,.0013021734,.0082493499,-.0020853661
04aug1983,.0078058532,.00031388889,.0074919644,.00047148511,.0054164361,.0050043287,.00090925902,.0023281686,.006660467
05aug1983,-.0018783108,.00031388889,-.0021921997,.010714522,-.0054056039,-.012773437,.012949838,-.0014277725,-.013172327
08aug1983,.014758743,.00031388889,.014444854,-.0088373143,.009390844,-.0093440451,-.0034238847,.014509148,-.019325074
09aug1983,-.001291882,.00031249999,-.0016043819,-.00082143972,-.0034644585,-.001105089,.0024224368,.0015997622,-.0095451511
10aug1983,-.0060087629,.00031249999,-.006321263,.0043016868,-.012424162,.0012432495,.0075031081,-.0067586256,.0029846453
11aug1983,.0084589226,.00031249999,.0081464229,.0042670928,.0094058122,-.0045885155,.0059313932,.0075389715,-.0045040278
12aug1983,.0085752942,.0003111111,.0082641831,-.00027768966,-.003455712,-.007701559,.0025042773,-.002222125,-.0026978995
15aug1983,-.0092246737,.0003111111,-.0095357848,.018643832,-.010413972,.002589961,.018844249,-.011051413,.0048263124
16aug1983,.0069152261,.00030833334,.0066068927,-.0085571855,.0059717866,-.01016371,-.0053412309,.0041515334,-.0060177082
17aug1983,-.0027926026,.00030694445,-.003099547,.0031697806,.0048405053,.010193034,.0083239824,.010270145,.010680679
