day,yw,RM_weekly,rf_weekly,RM_RF_weekly,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
19nov1984,1984w47,-.025173748,.0022069446,-.027380692,-.010160679,-.008086795,-.025673727,.0050571365,-.017149977,-.0023259949
26nov1984,1984w48,.022758413,.0022652778,.020493135,-.00091260456,.013099873,-.020501968,.0030430881,.026518337,-.024312552
03dec1984,1984w49,.02372789,.0022361111,.021491779,-.017363787,.0088904351,.0060067778,-.019308353,.0082283812,.0037127701
10dec1984,1984w50,-.026992857,.0022749999,-.029267857,.010389583,.013728633,-.010527663,.019368082,.0081969108,-.00477718
17dec1984,1984w51,-.00015956599,.0022749999,-.0024345659,-.024171021,-.020540534,.034781739,-.027954623,-.031750061,.03591324
24dec1984,1984w52,.0083215544,.0029374999,.0053840545,-.011765787,-.04328943,.040299967,-.01648654,-.050587099,.044937115
01jan1985,1985w1,.035476066,.0022361111,.033239953,-.014478017,.045704253,-.062529355,-.031532031,.045853302,-.055605073
08jan1985,1985w2,.027993711,.0021680554,.025825655,-.0044243857,.027040781,-.0080335224,-.0040284311,.033531073,-.0016841716
15jan1985,1985w3,.00076468836,.0020902778,-.0013255895,-.0030774975,-.00099607115,.019339796,-.0026208141,-.010448592,.018749435
22jan1985,1985w4,-.010527656,.0021388889,-.012666546,-.0017279092,-.0022853655,-.0094810873,-.0031274231,-.00026846305,-.013702681
29jan1985,1985w5,.015702089,.0027222221,.012979867,-.011659244,-.011614454,.017384818,-.02070491,-.0022085214,.0063801901
05feb1985,1985w6,.0012249209,.0025180555,-.0012931346,.0066557117,.014877936,.011636925,.0089036804,.015724633,.019817242
12feb1985,1985w7,-.028391832,.0025277778,-.03091961,.013933061,-.006184849,-.010437361,.02166534,-.0080499556,-.0059261611
19feb1985,1985w8,-.005948504,.0025375001,-.0084860045,-.0092145652,.0061404211,-.015569273,-.018229583,.026034543,-.014754116
26feb1985,1985w9,.0074910456,.0025763889,.0049146567,.0073988251,.013204022,-.009125079,-.0022059742,.013946197,-.0023463436
05mar1985,1985w10,-.012702955,.0026444446,-.0153474,.0053987219,-.0041798577,.0048040883,.0074011725,-.010523811,.0084595317
12mar1985,1985w11,.0077505764,.0026541667,.0050964095,-.0085454276,.033826657,-.010460053,-.011908959,.033998363,-.021813503
19mar1985,1985w12,-.016166281,.0026677779,-.018834058,.020045727,-.0038501718,.0032022768,.019783301,-.0011805482,.000040677376
26mar1985,1985w13,-.010120471,.0027222221,-.012842693,-.012952222,.0029077686,-.00063905958,-.0084962873,-.0070381421,-.0084171761
02apr1985,1985w14,.011454395,.0026502777,.0088041173,-.0094830319,.0065825931,-.008394056,-.011837467,.004662245,.0012336278
09apr1985,1985w15,.016743712,.0026444446,.014099267,-.015097778,.016906045,.010993894,-.022455031,.015178185,-.012772209
16apr1985,1985w16,.0017403411,.0026366666,-.00089632557,.0096012251,.0052177995,.010467695,.012185753,.013680073,.0070596971
23apr1985,1985w17,.013312196,.0026347223,.010677474,-.0087906402,.0045801378,-.01422355,-.0062565268,.010186562,-.020161157
30apr1985,1985w18,-.00038576112,.0026444446,-.0030302056,.0088246427,.0024982789,.0071907695,.0072336658,.0026006349,.0057291067
07may1985,1985w19,-.01700148,.0026891667,-.019690646,.0021485758,.0073786802,.024963118,.00095158973,.0050838995,.013996665
14may1985,1985w20,-.010621592,.0032083334,-.013829926,.0068108011,.0057815048,-.0024073836,.0059519759,.0088939685,.0032641976
21may1985,1985w21,-.026321011,.0032472224,-.029568233,.0067339386,-.0058919545,.0091471868,.007668382,-.011606844,-.0069587701
28may1985,1985w22,-.0048903078,.0032666666,-.0081569739,-.0032869449,-.0004199351,.010375025,2.7723192e-06,.005538567,-.012360793
04jun1985,1985w23,-.0013423429,.0031500002,-.0044923434,.0036687222,-.013026415,.0026164069,-.0029956524,-.011716252,.0023305777
11jun1985,1985w24,-.017041054,.0031441667,-.020185221,.0047435611,.010057826,.0079349689,.012396743,.010901943,.0087271631
18jun1985,1985w25,-.0036851619,.0031441667,-.0068293288,.035293285,.035038188,.0028538527,.02694514,.03711189,-.016960537
25jun1985,1985w26,.013027194,.0031500002,.0098771937,-.007976559,.0051180124,-.0024203304,-.0077929413,-.0034302841,-.0074275448
02jul1985,1985w27,-.013732289,.0032277778,-.016960066,.023615576,-.0027172433,.017918775,.02440558,-.010747363,.011337284
09jul1985,1985w28,.014016625,.0032219444,.010794681,-.0072092172,.0075256675,.0071343537,-.01497425,.0084155621,.012416676
16jul1985,1985w29,.022341622,.0030274999,.019314121,-.0078781713,.0077254679,-.0083516277,-.014186475,-.0020698172,-.0045779482
23jul1985,1985w30,.004514419,.0030372222,.0014771968,-.0027234131,-.0021825368,-.0046829614,-.0040074098,.0052544158,-.0067252666
30jul1985,1985w31,.019720513,.0030819445,.01663857,-.019625284,-.00056148961,.013408942,-.0074415272,-.0024780156,.011887208
06aug1985,1985w32,-.013287434,.0030099999,-.016297434,.0071659205,-.0076692486,.010902034,.0083400328,-.0067771985,.01571871
13aug1985,1985w33,-.018955134,.0029983334,-.021953467,.021239378,.010815222,-.002262237,.019531013,.005530769,-.0048428318
20aug1985,1985w34,.0019479931,.0030138888,-.0010658958,.00056176429,.012730927,-.00048433035,.0040690182,.018303629,.006523429
27aug1985,1985w35,.021454085,.0030527778,.018401306,-.0042955857,-.0006515634,.016632454,-.0095198182,.015715154,.0072278068
03sep1985,1985w36,.026492264,.002891389,.023600874,-.030490683,-.011183517,.013312719,-.026386159,.003989297,-.0060106958
